,hour,impressions,totalClicks,CTR
109,2014-10-25 13:00:00,238071,47052,0.19763851960129541
110,2014-10-25 14:00:00,242500,45564,0.18789278350515465
111,2014-10-25 15:00:00,238427,45535,0.19098088723173132
112,2014-10-25 16:00:00,210066,39997,0.19040206411318347
113,2014-10-25 17:00:00,205320,37802,0.18411260471459184
114,2014-10-25 18:00:00,191373,32777,0.17127285458241237
115,2014-10-25 19:00:00,122147,21961,0.17979156262536125
116,2014-10-25 20:00:00,100957,17453,0.17287558069277018
117,2014-10-25 21:00:00,92722,16201,0.17472660210090377
118,2014-10-25 22:00:00,89708,15467,0.17241494627012083
119,2014-10-25 23:00:00,76506,14173,0.18525344417431314
120,2014-10-26 00:00:00,72185,13156,0.18225393087206485
121,2014-10-26 01:00:00,80863,15168,0.18757651830874442
122,2014-10-26 02:00:00,100821,19488,0.19329306394501145
123,2014-10-26 03:00:00,112022,21766,0.1943011194229705
124,2014-10-26 04:00:00,150184,30322,0.20189900388856336
125,2014-10-26 05:00:00,171123,33337,0.19481308766209102
126,2014-10-26 06:00:00,179145,34030,0.1899578553685562
127,2014-10-26 07:00:00,200176,36468,0.18217968187994565
128,2014-10-26 08:00:00,188781,35516,0.18813333968990523
129,2014-10-26 09:00:00,201902,36301,0.1797951481411774
130,2014-10-26 10:00:00,219830,38329,0.1743574580357549
131,2014-10-26 11:00:00,239312,43514,0.18182957812395534
132,2014-10-26 12:00:00,237815,44378,0.18660723671761664
133,2014-10-26 13:00:00,236291,43579,0.18442936887143396
134,2014-10-26 14:00:00,233840,43012,0.183937735203558
135,2014-10-26 15:00:00,206823,39091,0.18900702533083844
136,2014-10-26 16:00:00,201409,38165,0.18949004264953404
137,2014-10-26 17:00:00,183154,31703,0.17309477270493684
138,2014-10-26 18:00:00,153815,26827,0.1744108181906836
139,2014-10-26 19:00:00,116956,20089,0.17176545025479667
140,2014-10-26 20:00:00,101676,17340,0.17054172076006138
141,2014-10-26 21:00:00,82130,12673,0.15430415195421893
142,2014-10-26 22:00:00,88869,14273,0.16060718585783568
143,2014-10-26 23:00:00,76770,13631,0.1775563371108506
144,2014-10-27 00:00:00,62254,11303,0.18156263051370192
145,2014-10-27 01:00:00,75382,15892,0.21081955904592609
146,2014-10-27 02:00:00,85828,15756,0.1835764552360535
147,2014-10-27 03:00:00,120546,20886,0.17326165944950475
148,2014-10-27 04:00:00,136684,25397,0.18580814140645577
149,2014-10-27 05:00:00,168542,31683,0.18798281733929822
150,2014-10-27 06:00:00,172517,31530,0.18276459711216866
151,2014-10-27 07:00:00,162343,30828,0.1898942362775112
152,2014-10-27 08:00:00,163554,29939,0.18305269207723443
153,2014-10-27 09:00:00,152066,28767,0.18917443741533282
154,2014-10-27 10:00:00,101249,17661,0.17443135240841884
155,2014-10-27 11:00:00,118272,19572,0.16548295454545456
156,2014-10-27 12:00:00,166229,28938,0.17408514759759128
157,2014-10-27 13:00:00,173052,33706,0.1947738252086078
158,2014-10-27 14:00:00,105178,23064,0.21928540189012913
159,2014-10-27 15:00:00,104242,20941,0.2008883175687343
160,2014-10-27 16:00:00,179656,34780,0.1935921984236541
161,2014-10-27 17:00:00,234152,42111,0.17984471625269055
162,2014-10-27 18:00:00,202275,33632,0.16626869361018415
163,2014-10-27 19:00:00,157962,26467,0.16755295577417353
164,2014-10-27 20:00:00,107591,17047,0.1584426206652973
165,2014-10-27 21:00:00,93247,14731,0.15797827275944534
166,2014-10-27 22:00:00,94982,15457,0.16273609736581668
167,2014-10-27 23:00:00,87207,15555,0.17836870893391585
168,2014-10-28 00:00:00,82520,15427,0.18694861851672323
169,2014-10-28 01:00:00,102748,20404,0.1985829407871686
170,2014-10-28 02:00:00,174692,26133,0.1495947152703043
171,2014-10-28 03:00:00,120099,18862,0.15705376397805143
172,2014-10-28 04:00:00,140573,25548,0.18174187077176981
173,2014-10-28 05:00:00,185896,33943,0.1825913413951887
174,2014-10-28 06:00:00,187063,30420,0.16261901070762255
175,2014-10-28 07:00:00,210758,35684,0.16931267140511866
176,2014-10-28 08:00:00,291763,37915,0.12995136463499485
177,2014-10-28 09:00:00,328576,40643,0.12369436599142969
178,2014-10-28 10:00:00,258656,36710,0.1419259557095138
179,2014-10-28 11:00:00,257891,39367,0.15264976288431933
180,2014-10-28 12:00:00,272124,44660,0.16411635871881936
181,2014-10-28 13:00:00,432308,59080,0.1366618244399826
182,2014-10-28 14:00:00,387453,56588,0.14605126299189838
183,2014-10-28 15:00:00,282315,47197,0.16717850627844782
184,2014-10-28 16:00:00,283491,47055,0.16598410531551266
185,2014-10-28 17:00:00,280835,43246,0.15399077750280413
186,2014-10-28 18:00:00,232346,34462,0.1483218992364835
187,2014-10-28 19:00:00,201072,28165,0.1400742022758017
188,2014-10-28 20:00:00,170081,24367,0.14326703159083026
189,2014-10-28 21:00:00,166216,24375,0.14664653222313134
190,2014-10-28 22:00:00,124195,17865,0.14384637062683683
191,2014-10-28 23:00:00,113551,16506,0.14536199593134363
192,2014-10-29 00:00:00,98950,14492,0.1464578069732188
193,2014-10-29 01:00:00,118914,17586,0.14788838992885614
194,2014-10-29 02:00:00,141174,24295,0.17209259495374502
195,2014-10-29 03:00:00,228057,40594,0.1779993598091705
196,2014-10-29 04:00:00,160923,24057,0.14949385731063924
197,2014-10-29 05:00:00,131740,19194,0.1456960680127524
198,2014-10-29 06:00:00,142879,20992,0.1469215210072859
199,2014-10-29 07:00:00,228905,34564,0.15099713855092725
200,2014-10-29 08:00:00,201567,30808,0.1528424791756587
201,2014-10-29 09:00:00,186264,25929,0.13920564360262852
202,2014-10-29 10:00:00,224107,31519,0.14064263945347535
203,2014-10-29 11:00:00,161531,27081,0.16765202964136916
204,2014-10-29 12:00:00,192389,29422,0.1529297413053761
205,2014-10-29 13:00:00,193327,30977,0.16023111101915408
206,2014-10-29 14:00:00,224237,35753,0.15944291084878945
207,2014-10-29 15:00:00,202404,34018,0.16806980099207525
208,2014-10-29 16:00:00,177356,28714,0.16190035860078036
209,2014-10-29 17:00:00,158732,24476,0.15419701131466876
210,2014-10-29 18:00:00,132239,20055,0.1516572266880421
211,2014-10-29 19:00:00,125421,18986,0.15137815836263466
212,2014-10-29 20:00:00,117017,18730,0.16006221318269995
213,2014-10-29 21:00:00,95752,15139,0.15810635809173698
214,2014-10-29 22:00:00,90365,15096,0.16705582913738726
215,2014-10-29 23:00:00,98358,17564,0.17857215478151242
216,2014-10-30 00:00:00,87333,17660,0.2022145122691308
217,2014-10-30 01:00:00,91307,18312,0.20055417437874423
218,2014-10-30 02:00:00,98459,18370,0.18657512263988055
219,2014-10-30 03:00:00,121534,18583,0.15290371418697649
220,2014-10-30 04:00:00,347806,36979,0.10632076502418014
221,2014-10-30 05:00:00,244765,33053,0.13503973198782507
222,2014-10-30 06:00:00,192404,31605,0.1642637367206503
223,2014-10-30 07:00:00,155891,29324,0.18810579186739454
224,2014-10-30 08:00:00,165420,28639,0.17312900495707895
225,2014-10-30 09:00:00,195885,36965,0.18870766010669526
226,2014-10-30 10:00:00,215813,34587,0.16026374685491607
227,2014-10-30 11:00:00,219810,39338,0.17896365042536735
228,2014-10-30 12:00:00,249022,40925,0.16434290946181462
229,2014-10-30 13:00:00,250441,42015,0.16776406419076748
230,2014-10-30 14:00:00,259187,43806,0.1690131063672175
231,2014-10-30 15:00:00,232694,41605,0.17879704676527972
232,2014-10-30 16:00:00,211916,39159,0.18478548103965722
233,2014-10-30 17:00:00,177578,32928,0.18542837513655971
234,2014-10-30 18:00:00,159570,31064,0.19467318418249044
235,2014-10-30 19:00:00,134243,26046,0.194021289750676
236,2014-10-30 20:00:00,110764,20820,0.1879672095626738
237,2014-10-30 21:00:00,112238,20958,0.18672820256953973
238,2014-10-30 22:00:00,101250,17328,0.17114074074074073
239,2014-10-30 23:00:00,83608,14116,0.16883551813223616
